MemberCode[+LibraryCode]+LocationCode	status
49HBZ_UBD+HA LH2714	suppressed
49HBZ_UBD+HA LH2715	suppressed
49HBZ_UBD+HA LH2716	suppressed
49HBZ_UBD+HA LH2717	suppressed
49HBZ_UBD+HA LH2718	suppressed
49HBZ_UBD+HA LH2719	suppressed
49HBZ_UBD+HA LH2720	suppressed
49HBZ_UBD+HA LH2721	suppressed
49HBZ_UBD+HA LH2722	suppressed
49HBZ_UBD+HA LH2723	suppressed
49HBZ_UBD+HA LH2724	suppressed
49HBZ_UBD+HA LH2725	suppressed
49HBZ_UBD+HA LH2726	suppressed
49HBZ_UBD+HA LH2750	suppressed
49HBZ_UBD+HA LH2751	suppressed
49HBZ_UBD+HA LH2753	suppressed
49HBZ_UBD+HA LH2754	suppressed
49HBZ_UBD+HA LH2755	suppressed
49HBZ_UBD+HA LH2757	suppressed
49HBZ_UBD+HA LH2758	suppressed
49HBZ_UBD+HA LH2760	suppressed
49HBZ_UBD+HA LH2850	suppressed
49HBZ_UBD+HA LH2851	suppressed
49HBZ_UBD+HA LH2852	suppressed
49HBZ_UBD+HA PR_nwiss	suppressed
49HBZ_UBD+HA Ref_Int	suppressed
49HBZ_UBD+HA TU-Verw	suppressed
49HBZ_UBD+HA ZfW300	suppressed
49HBZ_UBD+HA ZfW400	suppressed
49HBZ_UBD+HA ZHB_FS	suppressed
49HBZ_UBD+HA ZHB_HD	suppressed
49HBZ_UBD+HA ZHB_HF	suppressed
49HBZ_UBD+HA ZHB_SB	suppressed
49HBZ_UBD+HDZ	suppressed
49HBZ_UBD+HRZ	suppressed
49HBZ_UBD+HSP	suppressed
49HBZ_UBD+IFS	suppressed
49HBZ_UBD+itmc	suppressed
49HBZ_UBD+K4D	suppressed
49HBZ_UBD+LH0003	suppressed
49HBZ_UBD+LH0007	suppressed
49HBZ_UBD+LH0024	suppressed
49HBZ_UBD+LH0028	suppressed
49HBZ_UBD+LH0030W	suppressed
49HBZ_UBD+LH0032	suppressed
49HBZ_UBD+LH0033	suppressed
49HBZ_UBD+LH0048	suppressed
49HBZ_UBD+LH0067	suppressed
49HBZ_UBD+LH0069	suppressed
49HBZ_UBD+LH0072P	suppressed
49HBZ_UBD+LH0072	suppressed
49HBZ_UBD+LH0075	suppressed
49HBZ_UBD+LH0079	suppressed
49HBZ_UBD+LH0084	suppressed
49HBZ_UBD+LH0085	suppressed
49HBZ_UBD+LH0087	suppressed
49HBZ_UBD+LH0090	suppressed
49HBZ_UBD+LH0095	suppressed
49HBZ_UBD+LH0097	suppressed
49HBZ_UBD+LH0101	suppressed
49HBZ_UBD+LH0102P	suppressed
49HBZ_UBD+LH0102	suppressed
49HBZ_UBD+LH0105P	suppressed
49HBZ_UBD+LH0105	suppressed
49HBZ_UBD+LH0110P	suppressed
49HBZ_UBD+LH0110	suppressed
49HBZ_UBD+LH0112P	suppressed
49HBZ_UBD+LH0112	suppressed
49HBZ_UBD+LH0132P	suppressed
49HBZ_UBD+LH0132	suppressed
49HBZ_UBD+LH0150	suppressed
49HBZ_UBD+LH0151	suppressed
49HBZ_UBD+LH0155	suppressed
49HBZ_UBD+LH0157P	suppressed
49HBZ_UBD+LH0176	suppressed
49HBZ_UBD+LH0177	suppressed
49HBZ_UBD+LH0180	suppressed
49HBZ_UBD+LH0182	suppressed
49HBZ_UBD+LH0183	suppressed
49HBZ_UBD+LH0184	suppressed
49HBZ_UBD+LH0185	suppressed
49HBZ_UBD+LH0186	suppressed
49HBZ_UBD+LH0188	suppressed
49HBZ_UBD+LH0200	suppressed
