almaMmsId	rpbId	hbzId	zdbId
990124292420206441	RPB036t040607	HT013880874	2129586-4
990055825030206441	RPB036t040608	HT007029607	982791-2
990055639650206441	RPB036t040609	HT007006404	725939-6
990119913090206441	RPB036t040610	HT013669326	2107547-5
990124880960206441	RPB036t040612	HT013940392	
990125439460206441	RPB036t040613	HT013996868	2142655-7
990101937400206441	RPB036t040614	HT012041187	29074-9
990107592000206441	RPB036t040615	HT012606647	1333729-4
990107591900206441	RPB036t040616	HT012606637	1333719-1
990105176560206441	RPB036t040648	HT012365103	995505-7
990118811100206441	RPB036t040649	HT013557770	2096584-9
990119552350206441	RPB036t040650	HT013632773	2105208-6
990108742290206441	RPB036t040651	HT012721676	1484457-6
990117554850206441	RPB036t040653	HT013432256	2086410-3
990124377680206441	RPB036t040654	HT013889486	2130612-6
990114418810206441	RPB036t040721	HT013115541	2054402-9
990120197040206441	RPB036t040780	HT013698015	2111266-6
990124662070206441	RPB036t040781	HT013918239	2133795-0
990114420740206441	RPB036t040782	HT013115734	2054598-8
990118973730206441	RPB036t040783	HT013574210	2099672-X
990055739020206441	RPB036t040784	HT007019174	840816-6
990119999770206441	RPB036t040785	HT013678093	2108683-7
990113600910206441	RPB036t040820	HT013033205	2037855-5
990114419090206441	RPB036t040822	HT013115569	2054432-7
990120137680206441	RPB036t040823	HT013692027	2110544-3
990125265760206441	RPB036t040884	HT013979305	2141119-0
990108875360206441	RPB036t040899	HT012734983	1500188-X
990124662290206441	RPB036t040900	HT013918261	2133817-6
990126385520206441	RPB036t040918	HT014026357	2146024-3
990125269200206441	RPB036t040919	HT013979649	2141466-X
990124374520206441	RPB036t040920	HT013889170	2130290-X
990121052620206441	RPB036t040921	HT013784630	2118773-3
990129082420206441	RPB036t040922	HT014038675	2146646-4
990124650960206441	RPB036t040923	HT013917128	2132637-X
990121112350206441	RPB036t040924	HT013790655	2119613-8
990127073960206441	RPB036t040926	HT014033209	2146272-0
990131165930206441	RPB036t040928	HT014055160	2147214-2
990119467750206441	RPB036t040929	HT013624201	2104581-1
990054345500206441	RPB036t041034	HT003496803	635222-4
990132722830206441	RPB036t041044	HT014141262	2151408-2
